model_name,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
efficientnet_v2_s,4,0.8853841012295294,0.6587360594795539,0.645020195934034,0.8407449670005263,0.7660818713450293,0.7564104352030049
efficientnet_v2_s,5,0.8536456157726869,0.6951672862453532,0.6895123927418982,0.7910373820896037,0.7719298245614035,0.7575643910977745
efficientnet_v2_s,6,0.8294565858450964,0.6929368029739778,0.6844482718485607,0.7852448943065621,0.7426900584795322,0.7202498656508444
efficientnet_v2_s,7,0.7988378751676765,0.7122676579925651,0.7052095235276995,0.763842565274378,0.7777777777777778,0.7630190089206482
efficientnet_v2_s,8,0.789444352791655,0.6914498141263941,0.6861279613065859,0.7359088697628668,0.783625730994152,0.7771396011396012
efficientnet_v2_s,9,0.7603516490042874,0.7278810408921933,0.7215137064759967,0.7118775262470134,0.7894736842105263,0.7738010021474588
efficientnet_v2_s,10,0.7622281307624619,0.704089219330855,0.6946109013785519,0.6844550559395238,0.8070175438596491,0.7960292258696144
efficientnet_v2_s,11,0.7278492563276042,0.7315985130111524,0.7268142881119438,0.6868697620971859,0.8128654970760234,0.8083517127026107
efficientnet_v2_s,12,0.7176933783137666,0.7226765799256506,0.7176075440845703,0.6633730896732264,0.8070175438596491,0.7971914433283326
efficientnet_v2_s,13,0.7006469001557304,0.7472118959107806,0.7432909707140715,0.6635352090785378,0.783625730994152,0.7729340595405828
efficientnet_v2_s,14,0.6983847602149368,0.7360594795539034,0.7320111847447892,0.6532205033023455,0.8421052631578947,0.8360020757654385
efficientnet_v2_s,15,0.6700239135430205,0.7598513011152417,0.7537774885469767,0.6341143612973175,0.7894736842105263,0.7822707546544757
efficientnet_v2_s,16,0.6718703254891151,0.7553903345724907,0.751238144143187,0.6196976433023375,0.847953216374269,0.8435132247215661
efficientnet_v2_s,17,0.6580108164854652,0.7598513011152417,0.7549118314252029,0.5943466086833797,0.8362573099415205,0.8288050305767046
efficientnet_v2_s,18,0.6438159509219201,0.7739776951672862,0.7700712177144013,0.5906557566241214,0.8421052631578947,0.8327456864216054
efficientnet_v2_s,19,0.6508992559404622,0.7494423791821562,0.7443267259009766,0.5802858681009527,0.8362573099415205,0.8309121498061591
efficientnet_v2_s,20,0.6342064728081005,0.7598513011152417,0.7567142524956684,0.5834062855843215,0.8421052631578947,0.836491282011863
